# chembl_20 target list, 02/02/15
P53609	CHEMBL4135
P43367	CHEMBL4143
Q60492	CHEMBL4153
Q2TXB7	CHEMBL4155
P97391	CHEMBL4167
P06278	CHEMBL4215
Q8II92	CHEMBL4222
O88533	CHEMBL4230
P62508	CHEMBL4245
P42680	CHEMBL4246
P69332	CHEMBL4259
P17597	CHEMBL4263
P13721	CHEMBL4276
Q9UNK4	CHEMBL4281
Q9HC98	CHEMBL4309
Q9NQU5	CHEMBL4311
P96583	CHEMBL4320
P39877	CHEMBL4323
P10443	CHEMBL4621
Q07817	CHEMBL4625
Q32MK0	CHEMBL4627
P78600	CHEMBL4636
Q60857	CHEMBL4642
P35353	CHEMBL4649
P03120	CHEMBL4656
P27008	CHEMBL4664
Q03330	CHEMBL4669
P42330	CHEMBL4681
Q96RI0	CHEMBL4691
P05194	CHEMBL4709
P70180	CHEMBL4711
O00255	CHEMBL1615381
Q9C1S6	CHEMBL4723
O02747	CHEMBL4725
O07911	CHEMBL4726
O70423	CHEMBL4727
P14900	CHEMBL4732
P96618	CHEMBL4734
Q7YY07	CHEMBL4740
Q02844	CHEMBL4749
O14975	CHEMBL4326
A5A0U0	CHEMBL4346
O04931	CHEMBL4348
Q02083	CHEMBL4349
P15917	CHEMBL4372
Q9Z0Y2	CHEMBL4378
Q02563	CHEMBL4381
P23919	CHEMBL4388
P19112	CHEMBL4391
P41231	CHEMBL4398
P28088	CHEMBL4401
P49366	CHEMBL4415
P51684	CHEMBL4423
P29371	CHEMBL4429
P49682	CHEMBL4441
Q8IXJ6	CHEMBL4462
P51050	CHEMBL4466
O96013	CHEMBL4482
Q9GZV3	CHEMBL4507
Q9U5N6	CHEMBL4509
P41587	CHEMBL4532
Q9FXT4	CHEMBL4537
P96830	CHEMBL4540
P84058	CHEMBL4541
P04114	CHEMBL4549
P80276	CHEMBL4559
P26684	CHEMBL4566
O15303	CHEMBL4573
O08590	CHEMBL4592
P51685	CHEMBL4596
Q14123	CHEMBL4619
Q16539	CHEMBL260
P00784	CHEMBL4779
P0A2Y6	CHEMBL4788
O43614	CHEMBL4792
P49841	CHEMBL262
P29411	CHEMBL4799
P29474	CHEMBL4803
Q16831	CHEMBL4811
P06760	CHEMBL4814
O13428	CHEMBL4844
P03962	CHEMBL4858
P09252	CHEMBL4859
Q6UW60	CHEMBL4861
P50391	CHEMBL4877
A3EZI9	CHEMBL4893
P41279	CHEMBL4899
P23470	CHEMBL4905
Q9UK32	CHEMBL4924
O15217	CHEMBL4933
P29320	CHEMBL4954
P47869	CHEMBL4956
Q9Z2Z8	CHEMBL4965
P0A6K3	CHEMBL4976
P03956	CHEMBL332
P23298	CHEMBL4992
P43354	CHEMBL5002
Q8R455	CHEMBL5011
P12807	CHEMBL5020
P59264	CHEMBL5022
Q13535	CHEMBL5024
O14672	CHEMBL5028
Q9Y5L3	CHEMBL5049
Q9Y5S2	CHEMBL5052
P34927	CHEMBL5066
P70597	CHEMBL5068
Q9Y6F1	CHEMBL5083
Q9Z122	CHEMBL5088
P9WPP9	CHEMBL5090
Q02858	CHEMBL5199
P11169	CHEMBL5215
Q533H1	CHEMBL5226
Q582G3	CHEMBL5229
P28471	CHEMBL292
Q16659	CHEMBL5121
Q16832	CHEMBL5122
Q17066	CHEMBL5124
Q9UHI8	CHEMBL5133
P15056	CHEMBL5145
P17952	CHEMBL5168
O34667	CHEMBL5171
Q8NFI3	CHEMBL5172
Q7TQN8	CHEMBL5262
Q7TT86	CHEMBL5264
Q7Z4H4	CHEMBL5267
Q81RP3	CHEMBL5271
Q99683	CHEMBL5285
Q865E1	CHEMBL5299
A3RGC1	CHEMBL5304
A5A4K9	CHEMBL5307
Q0H0G9	CHEMBL5323
Q5MY95	CHEMBL5338
Q5TKS0	CHEMBL5341
Q5XX84	CHEMBL5342
P13423	CHEMBL5352
P38604	CHEMBL5355
Q61337	CHEMBL5385
Q9UKI8	CHEMBL5388
P42227	CHEMBL5402
Q8K4Z4	CHEMBL5414
Q9WVG6	CHEMBL5538
Q9Y253	CHEMBL5542
Q8NEV4	CHEMBL5546
Q8NI60	CHEMBL5550
O00337	CHEMBL5551
P07308	CHEMBL5424
Q86Z02	CHEMBL5427
Q8CGM4	CHEMBL5430
Q00961	CHEMBL401
Q9MYX0	CHEMBL5453
Q13546	CHEMBL5464
Q13873	CHEMBL5467
O00238	CHEMBL5476
O00254	CHEMBL5477
P14422	CHEMBL5481
P30291	CHEMBL5491
P49219	CHEMBL5495
Q63341	CHEMBL5506
Q63644	CHEMBL5509
Q8N2K0	CHEMBL5516
P55072	CHEMBL1075145
Q60795	CHEMBL1075148
Q7TNH1	CHEMBL1075150
Q9N6S8	CHEMBL5800
Q9NFS5	CHEMBL5803
P18870	CHEMBL1075084
P01012	CHEMBL1075085
Q8T8E6	CHEMBL1075156
P03366	CHEMBL5823
P03374	CHEMBL5825
P9WHH3	CHEMBL1075170
Q9HB89	CHEMBL1075178
P52176	CHEMBL5846
P08922	CHEMBL5568
Q15046	CHEMBL5575
P21567	CHEMBL5596
Q64669	CHEMBL5611
P97570	CHEMBL1075318
P28293	CHEMBL5622
P29070	CHEMBL5625
P21281	CHEMBL5641
P0CY28	CHEMBL5644
Q16236	CHEMBL1075094
P28305	CHEMBL1075099
Q9BXC0	CHEMBL1075101
Q8SPZ1	CHEMBL5647
P80366	CHEMBL5670
Q9GRG7	CHEMBL5672
Q59388	CHEMBL5677
Q63633	CHEMBL1075108
O25801	CHEMBL5687
Q9H5J4	CHEMBL5704
Q9H6Z9	CHEMBL5705
P0A4L9	CHEMBL1075021
Q7X1P7	CHEMBL1075022
Q9NR20	CHEMBL1075115
P41134	CHEMBL1075116
Q49PX0	CHEMBL1075128
P49652	CHEMBL5720
P01282	CHEMBL5737
P02692	CHEMBL5738
P30555	CHEMBL5743
Q8RN04	CHEMBL1075039
P00651	CHEMBL1075043
O32393	CHEMBL5755
P31040	CHEMBL5758
P31482	CHEMBL5761
O96214	CHEMBL6169
P00395	CHEMBL6173
P9WHV7	CHEMBL6176
Q7JHP9	CHEMBL6197
P0AG20	CHEMBL1163114
P22687	CHEMBL1163116
Q2XUH7	CHEMBL1163122
P67777	CHEMBL5591
P48999	CHEMBL5211
P20395	CHEMBL4288
P28563	CHEMBL5623
O15151	CHEMBL1255126
P56704	CHEMBL1255137
P62834	CHEMBL1255139
Q96Q40	CHEMBL5856
P31938	CHEMBL5860
P32298	CHEMBL5861
Q02224	CHEMBL5870
Q99527	CHEMBL5872
P62805	CHEMBL5876
Q99558	CHEMBL5888
O60344	CHEMBL5890
O75164	CHEMBL5896
Q03114	CHEMBL5901
Q9NXB9	CHEMBL5911
Q28705	CHEMBL1075200
O69002	CHEMBL1075209
P53615	CHEMBL5931
P53671	CHEMBL5932
P54310	CHEMBL5935
P22307	CHEMBL5950
P21589	CHEMBL5957
P97852	CHEMBL1075219
P70600	CHEMBL1075222
P43245	CHEMBL1075229
P55085	CHEMBL5963
P04792	CHEMBL5976
Q69422	CHEMBL5981
P84085	CHEMBL5986
O75385	CHEMBL6006
O88351	CHEMBL6012
P43094	CHEMBL6019
Q2HPH0	CHEMBL6023
O94907	CHEMBL6024
Q9NZJ5	CHEMBL6030
Q9H9B1	CHEMBL6031
P12709	CHEMBL1075250
Q6PRC7	CHEMBL1075261
P25051	CHEMBL6037
Q16548	CHEMBL6044
Q24498	CHEMBL6045
P12277	CHEMBL6049
Q96RG2	CHEMBL6054
Q9TSZ1	CHEMBL6056
O86309	CHEMBL6060
P9WIB9	CHEMBL6066
Q9GSW0	CHEMBL6074
Q9Y006	CHEMBL6075
Q91WR5	CHEMBL1075270
P9WMN1	CHEMBL6086
P62157	CHEMBL6092
P62158	CHEMBL6093
P19621	CHEMBL6107
Q9UM07	CHEMBL6111
Q96QU1	CHEMBL6112
Q96S37	CHEMBL6120
Q9QVP9	CHEMBL1075289
Q9BZ11	CHEMBL6121
Q9EQ79	CHEMBL6127
Q9H3S4	CHEMBL6155
P36537	CHEMBL6160
P54855	CHEMBL6161
P9WMC1	CHEMBL1772929
P33302	CHEMBL1697658
Q9ZHK8	CHEMBL1697664
P62744	CHEMBL1697667
P04303	CHEMBL1772931
O35956	CHEMBL1777665
Q8WWX8	CHEMBL1744524
P16671	CHEMBL1744526
Q15149	CHEMBL1293240
Q94696	CHEMBL1293247
O81014	CHEMBL1293253
P02791	CHEMBL1293254
P84022	CHEMBL1293258
Q08775	CHEMBL1681609
Q6NSN2	CHEMBL1681610
Q16513	CHEMBL3032
B9W6M3	CHEMBL1293271
O54833	CHEMBL5326
Q16281	CHEMBL1628463
P42261	CHEMBL2009
Q15418	CHEMBL2553
O00167	CHEMBL1293275
G4XX53	CHEMBL613815
O00311	CHEMBL5443
P48449	CHEMBL3593
Q84AD8	CHEMBL1287629
Q16873	CHEMBL1743183
P10620	CHEMBL1743184
O00204	CHEMBL1743297
P04370	CHEMBL1764935
P51449	CHEMBL1741186
O00115	CHEMBL1250342
P87108	CHEMBL1741194
Q9ESG6	CHEMBL1770046
Q99549	CHEMBL1741210
O54699	CHEMBL1287614
Q9Y468	CHEMBL1287622
Q96JM7	CHEMBL1287623
Q8NA19	CHEMBL1287624
Q70I53	CHEMBL6017
O97161	CHEMBL1293279
P09544	CHEMBL1255132
P48048	CHEMBL1293292
O50979	CHEMBL1667698
B2ZTR6	CHEMBL1667700
P70269	CHEMBL1681627
P06307	CHEMBL1649050
Q9I7A8	CHEMBL1649054
P83410	CHEMBL1649057
E2R517	CHEMBL1649060
Q5A7N4	CHEMBL1293308
O75604	CHEMBL1293227
Q5J463	CHEMBL1293260
Q86SK9	CHEMBL1275210
P13501	CHEMBL1275217
Q653V4	CHEMBL1293309
Q9Y570	CHEMBL1293320
O75030	CHEMBL1741165
P08679	CHEMBL1741170
P11411	CHEMBL1741173
P61244	CHEMBL1250363
Q9KPI8	CHEMBL1250374
P49763	CHEMBL1697671
Q70YI1	CHEMBL1667669
P41001	CHEMBL1741266
Q48435	CHEMBL1641338
B8R6A5	CHEMBL1641339
Q2HY42	CHEMBL1287600
Q16654	CHEMBL2096665
P07327	CHEMBL2096668
P00326	CHEMBL2096668
P11766	CHEMBL2096668
Q62645	CHEMBL2096669
P35363	CHEMBL2096671
P07205	CHEMBL2096677
P30542	CHEMBL2096679
P29274	CHEMBL2096679
O75751	CHEMBL2073673
A2CF88	CHEMBL1795145
Q1ZY22	CHEMBL1795147
P78540	CHEMBL1795148
P35439	CHEMBL1907608
Q8VHN2	CHEMBL1907608
Q8KHG4	CHEMBL1795154
P33883	CHEMBL1795157
P46863	CHEMBL1795160
P11230	CHEMBL1907588
Q07001	CHEMBL1907588
P17787	CHEMBL1907589
B6F061	CHEMBL1921663
Q91WU2	CHEMBL2073716
Q91Y77	CHEMBL2073717
Q8K1P8	CHEMBL2073720
O94759	CHEMBL1250402
Q8HZP2	CHEMBL1250405
P03354	CHEMBL2750
P0C6U8	CHEMBL3927
Q96FL8	CHEMBL1743126
O60240	CHEMBL1741164
P55789	CHEMBL1741189
Q9Y572	CHEMBL1795199
Q869C3	CHEMBL2046266
Q9Y230	CHEMBL2062349
P06576	CHEMBL2062350
Q9NRH2	CHEMBL1908384
Q6XUX3	CHEMBL1908386
Q9QLI9	CHEMBL2028641
P70623	CHEMBL2021755
O59952	CHEMBL2021756
Q8R000	CHEMBL2073723
Q8MJ89	CHEMBL2029193
P9WG57	CHEMBL1795161
D3W065	CHEMBL1795164
Q62190	CHEMBL1795170
P08754	CHEMBL4221
O00255	CHEMBL2093861
Q08499	CHEMBL2093863
P19328	CHEMBL2093864
Q9UBN7	CHEMBL2093865
P05771	CHEMBL2093867
P17252	CHEMBL2093867
O94806	CHEMBL2093867
Q9XSB5	CHEMBL2095170
P47870	CHEMBL2095172
P18507	CHEMBL2095172
P23280	CHEMBL2095180
P41145	CHEMBL2095181
P35372	CHEMBL2095181
Q71U36	CHEMBL2095182
Q9H4B7	CHEMBL2095182
Q7WZI7	CHEMBL2095183
P32239	CHEMBL2095185
Q16445	CHEMBL2095190
P33534	CHEMBL2095192
P23819	CHEMBL2096617
Q02156	CHEMBL2096620
Q9UL51	CHEMBL1795172
P97698	CHEMBL1795175
P19493	CHEMBL2093871
Q99928	CHEMBL2093872
P25109	CHEMBL2094110
P09483	CHEMBL2094110
P15823	CHEMBL2094111
P35351	CHEMBL2094112
Q15759	CHEMBL2094115
Q9JJ16	CHEMBL2094116
P18507	CHEMBL2094120
P32305	CHEMBL2094123
Q04206	CHEMBL2094258
P05696	CHEMBL2094266
Q9WTQ0	CHEMBL2094266
P54748	CHEMBL2094267
P35355	CHEMBL2095157
P30940	CHEMBL2095159
P63138	CHEMBL2096683
P31650	CHEMBL2096685
P31648	CHEMBL2096685
Q13639	CHEMBL2096904
P28566	CHEMBL2096904
P46098	CHEMBL2096904
P00918	CHEMBL2096906
O43741	CHEMBL2096907
P05622	CHEMBL2096980
P26618	CHEMBL2096980
P00772	CHEMBL2096984
P35913	CHEMBL2097163
P16499	CHEMBL2097163
Q13956	CHEMBL2097163
Q01061	CHEMBL2097166
Q8NFM4	CHEMBL2097167
Q08828	CHEMBL2097167
Q15825	CHEMBL2109237
Q9UGM1	CHEMBL2109238
P28476	CHEMBL2109242
Q16445	CHEMBL2109243
P18507	CHEMBL2109243
P14867	CHEMBL2109243
P31644	CHEMBL2109244
P14867	CHEMBL2109244
O60894	CHEMBL2111189
P30988	CHEMBL2111190
O60896	CHEMBL2111191
P28063	CHEMBL1944492
A6YCJ1	CHEMBL1944499
A5JV95	CHEMBL1944500
Q07889	CHEMBL2079846
P33533	CHEMBL2094129
Q9R0C9	CHEMBL2094129
P28472	CHEMBL2094130
Q9JLF1	CHEMBL2094133
Q9R0Y8	CHEMBL2094133
P27681	CHEMBL2094133
P63080	CHEMBL2094133
P49768	CHEMBL2094135
Q8WW43	CHEMBL2094135
P22694	CHEMBL2094138
P0AES6	CHEMBL2094139
Q7Z2H8	CHEMBL1914279
P08253	CHEMBL2111321
Q01066	CHEMBL2111322
P24941	CHEMBL2111326
O14920	CHEMBL2111328
P33765	CHEMBL2111329
P19020	CHEMBL2111342
O75343	CHEMBL2111348
P20052	CHEMBL2111355
P17157	CHEMBL2111355
P21708	CHEMBL2111356
Q61616	CHEMBL2111359
Q8BLD9	CHEMBL2111359
P47866	CHEMBL2111360
Q28067	CHEMBL2111364
Q02763	CHEMBL2111375
P08909	CHEMBL2111383
Q9QZN9	CHEMBL2111385
P28647	CHEMBL2111386
P18507	CHEMBL2111392
P37231	CHEMBL2111394
P30543	CHEMBL2111403
P21447	CHEMBL2111404
P29475	CHEMBL2111405
P35968	CHEMBL2111409
P18507	CHEMBL2111413
P42684	CHEMBL2111414
P47936	CHEMBL2111415
P06756	CHEMBL2111416
P18564	CHEMBL2111416
P00742	CHEMBL2111424
P00740	CHEMBL2111424
P05556	CHEMBL2111425
P04626	CHEMBL2111431
P27986	CHEMBL2111432
O95665	CHEMBL2111438
P11362	CHEMBL2111439
Q8BW75	CHEMBL2111442
O96020	CHEMBL2111444
P00515	CHEMBL2111446
P23944	CHEMBL2111447
P08709	CHEMBL2095194
P30542	CHEMBL2095195
P09626	CHEMBL2095199
P41595	CHEMBL2095200
P31645	CHEMBL2095201
P45379	CHEMBL2095202
P35348	CHEMBL2095203
Q95136	CHEMBL2096970
Q3SZX4	CHEMBL2096971
P37231	CHEMBL2096976
Q86VQ6	CHEMBL2096978
Q95142	CHEMBL2096979
P37088	CHEMBL2107836
Q9JHJ1	CHEMBL2109231
P32297	CHEMBL2109234
O88831	CHEMBL1795115
P21802	CHEMBL2095217
P22455	CHEMBL2095217
P18545	CHEMBL2095220
O43924	CHEMBL2095220
Q07422	CHEMBL2097172
Q9TSW7	CHEMBL1926490
Q183M8	CHEMBL1938206
O15054	CHEMBL1938211
Q9Z2R9	CHEMBL1938213
Q16543	CHEMBL1795123
Q9Z1E3	CHEMBL1926493
P06821	CHEMBL1932894
Q06806	CHEMBL2034800
P43404	CHEMBL2034801
Q78DX7	CHEMBL2034802
P57771	CHEMBL2034803
P59538	CHEMBL2034804
O15393	CHEMBL1795140
P49681	CHEMBL1938219
Q13572	CHEMBL1938220
P12390	CHEMBL1907592
P09483	CHEMBL1907596
P14867	CHEMBL1907597
Q15078	CHEMBL1907600
Q05586	CHEMBL1907603
P18508	CHEMBL1907607
P63138	CHEMBL1907607
P35318	CHEMBL2062356
Q14145	CHEMBL2069156
Q9Y694	CHEMBL1955711
P49885	CHEMBL2021744
A6XA80	CHEMBL1909043
P15848	CHEMBL2399
P08294	CHEMBL2069159
Q00534	CHEMBL2111455
P49674	CHEMBL2111458
P48730	CHEMBL2111458
O00408	CHEMBL2111470
P08684	CHEMBL2111472
P20815	CHEMBL2111472
P08709	CHEMBL2111477
P31646	CHEMBL2111478
P10185	CHEMBL2364696
P04488	CHEMBL2364696
P10228	CHEMBL2364696
Q9UNW8	CHEMBL3085618
P42345	CHEMBL2221341
P51681	CHEMBL3301384
P11802	CHEMBL3301385
Q09028	CHEMBL3301388
O75530	CHEMBL3301388
Q15369	CHEMBL3301400
Q3SYC2	CHEMBL2439944
P32297	CHEMBL2221346
O43526	CHEMBL2221348
P62617	CHEMBL3217375
P9WKG5	CHEMBL3217377
P60880	CHEMBL2364159
Q925H0	CHEMBL3232695
Q91X44	CHEMBL3232700
Q51504	CHEMBL2363020
Q9Y478	CHEMBL3038451
Q9Y478	CHEMBL3038452
P54619	CHEMBL3038453
P54646	CHEMBL3038454
P54646	CHEMBL3038456
P02708	CHEMBL3038458
P02716	CHEMBL3038460
Q9JLB5	CHEMBL3038462
P06493	CHEMBL3038467
P20248	CHEMBL3038469
P68400	CHEMBL3038477
P21462	CHEMBL3038479
Q63273	CHEMBL3038481
P20831	CHEMBL3038482
Q9UHD2	CHEMBL3038486
P70673	CHEMBL3038487
P23458	CHEMBL3038492
P45984	CHEMBL3038502
O15264	CHEMBL3038503
Q14957	CHEMBL3038504
O15399	CHEMBL3038505
P33535	CHEMBL3038507
Q9Y6Y9	CHEMBL3038513
Q9JHF9	CHEMBL3038514
P10950	CHEMBL3243914
Q13751	CHEMBL2364187
Q16363	CHEMBL2364187
P24043	CHEMBL2364187
A6NMZ7	CHEMBL2364188
P12111	CHEMBL2364188
P25788	CHEMBL2364701
P20618	CHEMBL2364701
E0VMW9	CHEMBL2364702
E0V9R7	CHEMBL2364702
E0VUR0	CHEMBL2364702
E0VV39	CHEMBL2364702
E0VM29	CHEMBL2364702
E0VBK5	CHEMBL2364702
F2SG63	CHEMBL2364703
P97924	CHEMBL2176786
O70247	CHEMBL2176793
Q8BQP8	CHEMBL2176809
P08503	CHEMBL2176828
P15650	CHEMBL2176836
Q6EIG7	CHEMBL2176856
P97823	CHEMBL3259479
Q61205	CHEMBL3259482
Q9QYR9	CHEMBL3259488
P16675	CHEMBL3259490
P97819	CHEMBL3259503
Q8KXD2	CHEMBL3271927
Q9XT54	CHEMBL3286064
P19357	CHEMBL3286066
P26616	CHEMBL3286080
P52703	CHEMBL2304406
O43194	CHEMBL3091266
Q9Z148	CHEMBL2169718
P42124	CHEMBL2169719
O96526	CHEMBL2169723
Q8MMZ4	CHEMBL2169724
Q9NYQ3	CHEMBL2169732
P02708	CHEMBL2362997
O15197	CHEMBL2363043
P21709	CHEMBL2363043
P00326	CHEMBL2363044
